DrugBank ID	Accession Numbers	Common name	CAS	UNII	Synonyms	InChI Key	Canonical_SMILES
DB00484	APRD00034	Brimonidine	59803-98-4	E6GNX3HHTE	5-Bromo-6-(2-imidazolin-2-ylamino)quinoxaline | Brimonidina | Brimonidine | Brimonidinum | Bromoxidine	XYLJNLCSTIOKRM-UHFFFAOYSA-N	C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
DB00485	APRD00916	Dicloxacillin	3116-76-5	COF19H7WBK	(2S,5R,6R)-6-({[3-(2,6-dichlorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | Dicloxacilina | Dicloxacillin | Dicloxacillina | Dicloxacilline | Dicloxacillinum	YFAGHNZHGGCZAX-JKIFEVAISA-N	CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
DB00486	APRD01127	Nabilone	51022-71-0	2N4O9L084N	Nabilon | Nabilona | Nabilone | Nabilonum	GECBBEABIDMGGL-RTBURBONSA-N	CCCCCCC(C)(C)C1=CC(=C2C3CC(=O)CCC3C(OC2=C1)(C)C)O
DB00487	APRD00108	Pefloxacin	70458-92-3	2H52Z9F2Q5	Pefloxacin | Pefloxacine | Pefloxacino | Pefloxacinum | PFLX	FHFYDNQZQSQIAI-UHFFFAOYSA-N	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O
DB00488	APRD00652	Altretamine	645-05-6	Q8BIH59O7H	2,4,6-tris(dimethylamino)-1,3,5-triazine | 2,4,6-tris(dimethylamino)-s-triazine | Altretamin | Altretamina | Altretamine | Altrétamine | Altretaminum | Hexamethylmelamine | HMM	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
DB00489	APRD01230	Sotalol	3930-20-9	A6D97U294I	4'-(1-hydroxy-2-(isopropylamino)ethyl)methane sulfonanilide | Sotalol | Sotalolo | Sotalolum | β-cardone	ZBMZVLHSJCTVON-UHFFFAOYSA-N	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
DB00490	APRD00222	Buspirone	36505-84-7	TK65WKS8HL	8-(4-(4-(2-Pyrimidinyl)-1-piperizinyl)butyl)-8-azaspiro(4,5)decane-7,9-dione | Buspiron | Buspirona | Buspirone | Buspironum	QWCRAEMEVRGPNT-UHFFFAOYSA-N	C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
DB00491	APRD01117	Miglitol	72432-03-2	0V5436JAQW	Miglitol | Miglitolum	IBAQFPQHRJAVAV-ULAWRXDQSA-N	C1C(C(C(C(N1CCO)CO)O)O)O
DB00492	APRD00526	Fosinopril	98048-97-6	R43D2573WO	Fosenopril | Fosinopril	BIDNLKIUORFRQP-XYGFDPSESA-N	CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3
DB00493	APRD00854	Cefotaxime	63527-52-6	N2GI8B1GK7	(6R,7R,Z)-3-(acetoxymethyl)-7-(2-(2-aminothiazol-4-yl)-2-(methoxyimino)acetamido)-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | (6R,7R)-3-(acetoxymethyl)-7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | (6R,7R)-3-Acetoxymethyl-7-{2-(2-amino-thiazol-4-yl)-2-[(Z)-methoxyimino]-acetylamino}-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefotaxim | Cefotaxima | Cefotaxime | Céfotaxime | Cefotaximum | Cephotaxime	GPRBEKHLDVQUJE-QSWIMTSFSA-N	CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O
DB00494	APRD00416	Entacapone	130929-57-6	4975G9NM6T	(E)-alpha-Cyano-N,N-diethyl-3,4-dihydroxy-5-nitrocinnamamide | Entacapona | Entacapone | Entacaponum | N,N-diethyl-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl) acrylamide	JRURYQJSLYLRLN-BJMVGYQFSA-N	CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N
DB00495	APRD00449	Zidovudine	30516-87-1	4B9XT59T7S	Azidothymidine | AZT | ZDV | Zidovudina | Zidovudine | Zidovudinum	HBOMLICNUCNMMY-XLPZGREQSA-N	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]
DB00496	APRD00903	Darifenacin	133099-04-4	APG9819VLM	(S)-1-(2-(2,3-dihydro-5-benzofuranyl)ethyl)-α,α-diphenyl-3-pyrrolidineacetamide | Darifenacin | Darifenacina | Darifénacine | Darifenacinum	HXGBXQDTNZMWGS-RUZDIDTESA-N	C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5
DB00497	APRD00387	Oxycodone	76-42-6	CD35PMG570	(-)-14-Hydroxydihydrocodeinone | 4,5-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one | 4,5alpha-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one | 4,5α-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one | Dihydro-14-hydroxycodeinone | Dihydrohydroxycodeinone | Dihydroxycodeinone | Oxicodona | Oxycodone | Oxycodonum	BRUQQQPBMZOVGD-XFKAJCMBSA-N	CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O
DB00498	APRD00166	Phenindione	83-12-5	5M7Y6274ZE	2-phenyl-1,3-diketohydrindene | 2-Phenyl-1,3-indandione | 2-phenyl-1,3(2H)-Indenedione | Fenindiona | Fenindione | Phenindion | Phénindione | Phenindione | Phenindionum | PID	NFBAXHOPROOJAW-UHFFFAOYSA-N	C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
DB00499	APRD00984	Flutamide	13311-84-7	76W6J0943E	4'-nitro-3'-trifluoromethylisobutyranilide | Flutamid | Flutamida | Flutamide | Flutamidum | FTA | NFBA | Niftolid | Niftolide | α,α,α-trifluoro-2-methyl-4'-nitro-m-propionotoluidide	MKXKFYHWDHIYRV-UHFFFAOYSA-N	CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
DB00500	APRD01268	Tolmetin	26171-23-3	D8K2JPN18B	1-Methyl-5-(4-methylbenzoyl)-pyrrole-2-acetic acid | 1-Methyl-5-p-toluoylpyrrole-2-acetic acid | 5-(p-Toluoyl)-1-methylpyrrole-2-acetic acid | Tolmetin | Tolmetina | Tolmétine | Tolmetino | Tolmetinum	UPSPUYADGBWSHF-UHFFFAOYSA-N	CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O
DB00501	APRD00568	Cimetidine	51481-61-9	80061L1WGD	1-Cyano-2-methyl-3-(2-(((5-methyl-4-imidazolyl)methyl)thio)ethyl)guanidine | 2-cyano-1-methyl-3-(2-(((5-methylimidazol-4-yl)methyl)thio)ethyl)guanidine | Cimetidin | Cimetidina | Cimétidine | Cimetidine | Cimetidinum | N-cyano-N'-methyl-N''-(2-([(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl)ethyl)guanidine | N''-cyano-N-methyl-N'-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]thio}ethyl)guanidine	AQIXAKUUQRKLND-UHFFFAOYSA-N	CC1=C(N=CN1)CSCCNC(=NC)NC#N
DB00502	APRD00538	Haloperidol	52-86-8	J6292F8L3D	1-(3-p-fluorobenzoylpropyl)-4-p-chlorophenyl-4-hydroxypiperidine | 4-(4-(para-chlorophenyl)-4-hydroxypiperidino)-4'-fluorobutyrophenone | 4-[4-(4-chlorophenyl)-4-hydroxy-1-piperidyl]-1-(4-fluorophenyl)-butan-1-one | 4'-fluoro-4-(4-(p-chlorophenyl)-4-hydroxypiperidinyl)butyrophenone | 4'-fluoro-4-(4-hydroxy-4-(4'-chlorophenyl)piperidino)butyrophenone | Haloperidol | Haloperidolum | γ-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone	LNEPOXFFQSENCJ-UHFFFAOYSA-N	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
DB00503	APRD00312	Ritonavir	155213-67-5	O3J8G9O825	Ritonavir | Ritonavirum	NCDNCNXCDXHOMX-XGKFQTDJSA-N	CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
DB00504	APRD00733	Levallorphan	152-02-3	353613BU4U	Levallofano | Levallorphan | Lévallorphane | Levallorphanum | Levalorfano	OZYUPQUCAUTOBP-QXAKKESOSA-N	C=CCN1CCC23CCCCC2C1CC4=C3C=C(C=C4)O
DB00505	APRD00286	Tridihexethyl	60-49-1	7HE50A367X		NPRHVSBSZMAEIN-UHFFFAOYSA-N	CC[N+](CC)(CC)CCC(C1CCCCC1)(C2=CC=CC=C2)O
DB00507	APRD00558	Nitazoxanide	55981-09-4	SOA12P041N	Nitaxozanid | Nitaxozanide | Nitazoxanida | Nitazoxanide | Nitazoxanidum	YQNQNVDNTFHQSW-UHFFFAOYSA-N	CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-]
DB00508	APRD00465	Triflupromazine	146-54-3	RO16TQF95Y	10-(3-(Dimethylamino)propyl)-2-(trifluoromethyl)phenothiazine | 2-(Trifluoromethyl)promazine | 2-Trifluoromethyl-10-(gamma-dimethylaminopropyl)phenothiazine | Fluopromazine | Triflupromazin | Triflupromazina | Triflupromazine | Triflupromazinum	XSCGXQMFQXDFCW-UHFFFAOYSA-N	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F
DB00509	APRD00911	Dextrothyroxine	51-49-0	4W9K63FION	D-thyroxine | Dextrothyroxine | Dextrothyroxinum | O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-D-tyrosine	XUIIKFGFIJCVMT-GFCCVEGCSA-N	C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
DB00511	APRD01334	Acetyldigitoxin	1111-39-3	0ZV4Q4L2FU	Acetildigitoxina | Acetyl-digitoxin-alpha | Acetyldiginatin | Acetyldigitoxin | Acetyldigitoxinum | Acetylgitoxin | alpha-Acetyldigitoxin | alpha-Acetylgitaloxin | alpha-Monoacetyldigitoxin | Desglucolanatoside A | Digitoxin 3'''-acetate	HPMZBILYSWLILX-UMDUKNJSSA-N	CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)OC(=O)C)O
DB00512	APRD01287 | EXPT03217	Vancomycin	1404-90-6	6Q205EH1VU	(1S,2R,18R,22S,25R,28R,40S)-22-(2-amino-2-oxoethyl)-48-[2-O-(3-amino-2,3,6-trideoxy-3-methyl-α-L-lyxo-hexopyranosyl)-β-D-glucopyranosyloxy]-5,15-dichloro-2,18,32,35,37-pentahydroxy-19-[(N-methyl-D-leucyl)amino]-20,23,26,42,44-pentaoxo-7,13-dioxa-21,24,27,41,43-pentaazaoctacyclo[26.14.2.23,6.214,17.18,12.129,33.010,25.034,39]pentaconta-3,5,8(48),9,11,14,16,29(45),30,32,34,36,38,46,49-pentadecaene-40-carboxylic acid | (2.2Sp,3.5Sa,2.6Sp)-O4.2,C3.4:C5.4,O4.6:C3.5,C2.7-tricyclo[N-methyl-D-leucyl-3-chloro-(R)-β-hydroxy-D-tyrosyl-L-asparaginyl-D-2-(4-{[2-O-(3-amino-2,3,6-trideoxy-3-C-methyl-α-L-lyxo-hexopyranosyl)-β-D-glucopyranosyl]oxy}phenyl)glycyl-D-2-(4-hydroxyphenyl)glycyl-3-chloro-(R)-β-hydroxy-L-tyrosyl-L-2-(3,5-dihydroxyphenyl)glycine] | Vancomicina | Vancomycin | Vancomycine | Vancomycinum	MYPYJXKWCTUITO-LYRMYLQWSA-N	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
DB00513	APRD00791 | DB04134 | EXPT00408 | EXPT00461	Aminocaproic acid	60-32-2	U6F3787206	6-Aminocaproic acid | 6-aminohexanoic acid | Acide aminocaproïque | Ácido aminocapróico | acidum aminocaproicum | Aminocaproic acid | Aminocapronsäure | EACA | EACS | Epsilcapramine | Epsilon Aminocaproic Acid | Epsilon-Aminocaproic acid | epsilon-Aminohexanoic acid | omega-Aminocaproic acid | omega-Aminohexanoic acid	SLXKOJJOQWFEFD-UHFFFAOYSA-N	C(CCC(=O)O)CCN
DB00514	APRD00655	Dextromethorphan	125-71-3	7355X3ROTS	(+)-dextromethorphan | D-methorphan | delta-Methorphan | Dex | Dextromethorfan | Dextromethorphan | Dextrométhorphane | Dextromethorphanum | Dextrometorfano | DM	MKXZASYAUGDDCJ-NJAFHUGGSA-N	CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC
DB00515	APRD00359	Cisplatin	15663-27-1	Q20Q21Q62J	CDDP | Cis-DDP | cis-diamminedichloroplatinum(II) | Cisplatin | cisplatino	LXZZYRPGZAFOLE-UHFFFAOYSA-L	N.N.[Cl-].[Cl-].[Pt+2]
DB00517	APRD00800	Anisotropine methylbromide	80-50-2	62M960DHIL	8-Methyl-3-(2-propylpentanoyloxy)tropinium bromide | 8-Methyltropinium bromide 2-propylpentanoate | 8-Methyltropinium bromide 2-propylvalerate | Anisotropine methobromide | Anisotropine methylbromide | endo-8,8-Dimethyl-3-((1-oxo-2-propylpentyl)oxy)-8-azoniabicyclo(3.2.1)octane bromide | Méthylbromure d'octatropine | Methyloctatropine bromide | Metilbromuro de octatropina | Octatropine methylbromide | Octatropini methylbromidum	QSFKGMJOKUZAJM-UHFFFAOYSA-M	CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-]
DB00518	APRD00782	Albendazole	54965-21-8	F4216019LN	(5-(propylthio)-1H-benzimidazol-2-yl)carbamic acid methyl ester | 5-(propylthio)-2-carbomethoxyaminobenzimidazole | Albendazol | Albendazole | Albendazolum | Eskazole | O-methyl N-(5-(propylthio)-2-benzimidazolyl)carbamate | Proftril	HXHWSAZORRCQMX-UHFFFAOYSA-N	CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
DB00519	APRD01269	Trandolapril	87679-37-6	1T0N3G9CRC	Trandolapril | Trandolaprilum	VXFJYXUZANRPDJ-WTNASJBWSA-N	CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCCC3CC2C(=O)O
DB00520	APRD00199	Caspofungin	162808-62-0	F0XDI6ZL63	(4R,5S)-5-((2-Aminoethyl)amino)-N(sup 2)-(10,12-dimethyltetradecanoyl)-4-hydroxy-L-ornithyl-L-threonyl-trans-4-hydroxy-L-prolyl-(S)-4-hydroxy-4-(p-hydroxyphenyl)-L-threonyl-threo-3-hydroxy-L-ornithyl-trans-3-hydroxy-L-proline cyclic (6-1)-peptide | Caspofungin | Caspofungina	JYIKNQVWKBUSNH-OGZDCFRISA-N	CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(CCN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC=C(C=C4)O)O)O)C(CCN)O)O)NCCN)O
DB00521	APRD00195	Carteolol	51781-06-7	8NF31401XG	Carteolol | Cartéolol | Carteololum	LWAFSWPYPHEXKX-UHFFFAOYSA-N	CC(C)(C)NCC(COC1=CC=CC2=C1CCC(=O)N2)O
DB00522	APRD00818	Bentiromide	37106-97-1	239IF5W61J	Bentiromide | Bentiromido | Bentiromidum | BTPABA | PFT	SPPTWHFVYKCNNK-FQEVSTJZSA-N	C1=CC=C(C=C1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC3=CC=C(C=C3)C(=O)O
DB00523	APRD00017	Alitretinoin	5300-03-8	1UA8E65KDZ	(2E,4E,6Z,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid | (7E,9Z,11E,13E)-retinoic acid | 9-cis-retinoic acid | 9-cis-Tretinoin | 9(Z)-Retinoic acid | Alitretinoin | Alitretinoína | Alitrétinoïne | Alitretinoinum	SHGAZHPCJJPHSC-ZVCIMWCZSA-N	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
DB00524	APRD01109	Metolazone	17560-51-9	TZ7V40X7VX	2-Methyl-3-o-tolyl-6-sulfamyl-7-chloro-1,2,3,4-tetrahydro-4-quinazolinone | 7-Chloro-1,2,3,4-tetrahydro-2-methyl-3-(2-methylphenyl)-4-oxo-6-quinazolinesulfonamide | 7-Chloro-1,2,3,4-tetrahydro-2-methyl-4-oxo-3-o-tolyl-6-quinazolinesulfonamide | Metolazon | Metolazona | Métolazone | Metolazone | Metolazonum	AQCHWTWZEMGIFD-UHFFFAOYSA-N	CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
DB00525	APRD01607	Tolnaftate	2398-96-1	06KB629TKV	2-Naphthyl N-methyl-N-(3-tolyl)thionocarbamate | m,N-Dimethylthiocarbanilic acid O-2-naphthyl ester | Methyl (3-methylphenyl)carbamothioic acid O-2-naphthalenyl ester | N-methyl-N-(3-methylphenyl)-1-(naphthalen-2-yloxy)methanethioamide | O-2-Naphthyl m,N-dimethylthiocarbanilate | Tolnaftate | Tolnaftato | Tolnaftatum | Tolnaphthate	FUSNMLFNXJSCDI-UHFFFAOYSA-N	CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=CC=CC=C3C=C2
DB00526	APRD00186	Oxaliplatin	61825-94-3	04ZR38536J	Diaminocyclohexane Oxalatoplatinum | L-OHP | Oxalatoplatin | Oxalatoplatinum | Oxaliplatin | oxaliplatine | oxaliplatino | oxaliplatinum	ZROHGHOFXNOHSO-BNTLRKBRSA-L	C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2]
DB00527	APRD00915	Cinchocaine	85-79-0	L6JW2TJG99	2-butoxy-N-(2-(diethylamino)ethyl)cinchoninamide | 2-butoxy-N-(α-diethylaminoethyl)cinchoninamide | 2-butoxy-N-(β-diethylaminoethyl)cinchoninamide | 2-butoxy-N-[2-(diethylamino)ethyl]-4-quinolinecarboxamide | 2-Butoxy-quinoline-4-carboxylic acid (2-diethylamino-ethyl)-amide | 2-butoxyquinoline-4-carboxylic acid diethylaminoethylamide | 2-N-butoxy-N-(2-diethylaminoethyl)cinchoninamide | Cinchocaine | Cinchocainum | Cincocainio | Dibucaine | N-(2-(diethylamino)ethyl)-2-butoxycinchoninamide | α-butyloxycinchonic acid-γ-diethylethylenediamine | α-butyloxycinchoninic acid diethylethylenediamide	PUFQVTATUTYEAL-UHFFFAOYSA-N	CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
DB00528	APRD00193	Lercanidipine	100427-26-7	V7XTJ4R0BH	Lercanidipine | Lercanidipino	ZDXUKAKRHYTAKV-UHFFFAOYSA-N	CC1=C(C(C(=C(N1)C)C(=O)OC(C)(C)CN(C)CCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC
DB00529	APRD00669	Foscarnet	4428-95-9	364P9RVW4X	Carboxyphosphonic acid | Foscarmet | Phosphonoformate | Phosphonoformic acid | Phosphonomethanoic acid	ZJAOAACCNHFJAH-UHFFFAOYSA-N	C(=O)(O)P(=O)(O)O
DB00530	APRD00951	Erlotinib	183321-74-6	J4T82NDH7E	[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine | Erlotinib	AAKJLRGGTJKAMG-UHFFFAOYSA-N	COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC
DB00531	APRD00408	Cyclophosphamide	50-18-0	6UXW23996M	(+-)-Cyclophosphamide | (RS)-Cyclophosphamide | 2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide | Anhydrous cyclophosphamide | Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester | Ciclofosfamida | Ciclofosfamide | Cyclophosphamid | Cyclophosphamide | Cyclophosphamide anhydrous | Cyclophosphamidum | Cytophosphane | N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide	CMSMOCZEIVJLDB-UHFFFAOYSA-N	C1CNP(=O)(OC1)N(CCCl)CCCl
DB00532	APRD00512	Mephenytoin	50-12-4	R420KW629U	mefenitoína | Mephenytoin	GMHKMTDVRCWUDX-UHFFFAOYSA-N	CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
DB00533	APRD00151	Rofecoxib	162011-90-7	0QTW8Z7MCR	3-phenyl-4-[4-(methylsulfonyl)phenyl]-2(5H)-furanone | 4-[4-(methylsulfonyl)phenyl]-3-phenyl-2(5H)-furanone | Rofécoxib | Rofecoxib | Rofecoxibum	RZJQGNCSTQAWON-UHFFFAOYSA-N	CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
DB00534	APRD00864	Chlormerodrin	62-37-3	99T5TWO621	{3-[(aminocarbonyl)amino]-2-methoxypropyl}chloromercury | 1-[3-(chloromercuri)-2-methoxypropyl]urea | Chlormerodrin | Chlormerodrina | Chlormerodrine | Chlormerodrinum	BJFGVYCULWBXKF-UHFFFAOYSA-M	COC(CNC(=O)N)C[Hg]Cl
DB00535	APRD00644	Cefdinir	91832-40-5	CI0FAO63WC	(6R,7R,Z)-7-(2-(2-aminothiazol-4-yl)-2-(hydroxyimino)acetamido)-8-oxo-3-vinyl-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | (6R,7R)-7-{2-(2-Amino-thiazol-4-yl)-2-[(Z)-hydroxyimino]-acetylamino}-8-oxo-3-vinyl-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefdinir | Cefdinirum | CFDN	RTXOFQZKPXMALH-GHXIOONMSA-N	C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O
DB00536	APRD01008 | EXPT01546	Guanidine	113-00-8	JU58VJ6Y3B	Aminomethanamidine | Gu | Guanidin | Guanidine | Imidourea | Iminourea	ZRALSGWEFCBTJO-UHFFFAOYSA-N	C(=N)(N)N
DB00537	APRD00424 | EXPT00999	Ciprofloxacin	85721-33-1	5E8K9I0O4U	1-cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid | 1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid | 1-Cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-yl-1,4-dihydro-quinoline-3-carboxylic acid | 1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid | 1-Cyclopropyl-6-fluoro-7-(4-methyl-piperazin-1-yl)-4-oxo-1,4-dihydro-quinoline-3-carboxylic acid | 1-cyclopropyl-6-fluoro-7-hexahydro-1-pyrazinyl-4-oxo-1,4-dihydro-3-quinolinecarboxylic acid | Ciprofloxacin | Ciprofloxacine | Ciprofloxacino | Ciprofloxacinum	MYSWGUAQZAJSOK-UHFFFAOYSA-N	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O
DB00538	APRD00993	Gadoversetamide	131069-91-5	RLM74T3Z9D	Gadoversetamid | Gadoversetamida | Gadoversetamide | Gadoversetamidum	HBEAOBRDTOXWRZ-UHFFFAOYSA-K	COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3]
DB00539	APRD00391	Toremifene	89778-26-7	7NFE54O27T	Toremifene | Toremifeno | Toremifenum	XFCLJVABOIYOMF-QPLCGJKRSA-N	CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3
DB00540	APRD00602	Nortriptyline	72-69-5	BL03SY4LXB	10,11-dihydro-N-methyl-5H-dibenzo[a,d]cycloheptene-Δ5,γ-propylamine | 3-(10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-ylidene)-N-methyl-1-propanamine | Demethylamitriptyline | Desmethylamitriptyline | Nortriptylina | Nortriptyline | Nortriptylinum	PHVGLTMQBUFIQQ-UHFFFAOYSA-N	CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
DB00541	APRD00495	Vincristine	57-22-7	5J49Q6B70F	22-Oxovincaleukoblastin | 22-Oxovincaleukoblastine | Leurocristine | Vincristin | Vincristina | Vincristine | Vincristinum	OGWKCGZFUXNPDA-CFWMRBGOSA-N	CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
DB00542	APRD00063	Benazepril	86541-75-5	UDM7Q7QWP8	Bénazépril | Benazepril | Benazeprilum	XPCFTKFZXHTYIP-PMACEKPBSA-N	CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O
DB00543	APRD00142	Amoxapine	14028-44-5	R63VQ857OT	2-Chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine | Amoxapin | Amoxapina | Amoxapine | Amoxapinum | Amoxepine | Desmethylloxapin	QWGDMFLQWFTERH-UHFFFAOYSA-N	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
DB00544	APRD00516 | EXPT03204	Fluorouracil	51-21-8	U3P01618RT	5-Fluoracil | 5-Fluoropyrimidine-2,4-dione | 5-Fluorouracil | 5-Fluracil | 5-FU | Fluoro Uracil | Fluorouracil | Fluorouracilo | Fluorouracilum | Fluouracil	GHASVSINZRGABV-UHFFFAOYSA-N	C1=C(C(=O)NC(=O)N1)F
DB00545	APRD00380	Pyridostigmine	155-97-5	19QM69HH21	Piridostigmina | Pyridostigmine cation	RVOLLAQWKVFTGE-UHFFFAOYSA-N	C[N+]1=CC=CC(=C1)OC(=O)N(C)C
DB00546	APRD00724	Adinazolam	37115-32-5	KN08449444	8-Chloro-1-((dimethylamino)methyl)-6-phenyl-4H-s-triazolo(4,3-a)(1,4)benzodiazepine | Adinazolam | Adinazolamum	GJSLOMWRLALDCT-UHFFFAOYSA-N	CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
